Country Name,CountryCode,Corruption risks,Funding USDm
Afghanistan,AFG,0.57877264,39.1733309
Albania,ALB,0.449673223,5.4953251
Algeria,DZA,0.629059839,0.613693333
Azerbaijan,AZE,0.491987181,0.249802875
Argentina,ARG,0.508085108,0.159034
Australia,AUS,0.565176916,0
Bangladesh,BGD,0.332562613,6.8034272
Armenia,ARM,0.556698799,0.5193746
Belgium,BEL,0.549763012,0
Bolivia,BOL,0.570449162,8.4202005
Bosnia and Herzegovina,BIH,0.527481699,8.5177013
Brazil,BRA,0.589038038,1.154819
Solomon Islands,SLB,0.396428561,0
Bulgaria,BGR,0.62836256,0
Burundi,BDI,0.289617491,1.211824
Cambodia,KHM,0.343622732,14.8796217
Cameroon,CMR,0.495138884,0.220111
Canada,CAN,0.552473116,0
Sri Lanka,LKA,0.50945735,1.237315
Chile,CHL,0.59066391,0.304314
Taiwan,TWN,0.617409325,0
Colombia,COL,0.628361368,19.0556717
"Congo, Democratic Republic",COD,0.550521898,20.3038699
Croatia,HRV,0.555381155,0.0579575
Cyprus,CYP,0.5265306,0
Czech Republic,CZE,0.495594692,0
Denmark,DNK,0.461165047,0
El Salvador,SLV,0.574919605,0.628357
Ethiopia,ETH,0.446170425,7.2469802
Estonia,EST,0.474157286,0
Fiji,FJI,0.497089386,0
Finland,FIN,0.471806669,0
France,FRA,0.555882359,0
Georgia,GEO,0.401932383,9.7049992
Germany,DEU,0.604966164,0
Ghana,GHA,0.468136501,0.2944318
Greece,GRC,0.621899462,0
Hungary,HUN,0.55048027,0
India,IND,0.570806646,2.2560323
Indonesia,IDN,0.54160428,0.92140375
Iraq,IRQ,0.445250797,9.3048856
Israel,ISR,0.657395124,0
Italy,ITA,0.569213724,0
Jamaica,JAM,0.389722514,0
Japan,JPN,0.655379725,0
Kazakhstan,KAZ,0.518575048,0.0516615
Kenya,KEN,0.468466711,16.5783325
"Korea, South",KOR,0.558356524,0
Kyrgyzstan,KGZ,0.578236914,0.446875571
Lebanon,LBN,0.731784821,1.7761989
Latvia,LVA,0.484482765,0
Liberia,LBR,0.625944853,16.9926202
Libya,LBY,0.527639389,3.179866
Lithuania,LTU,0.517267084,0
Luxembourg,LUX,0.511111116,0
Madagascar,MDG,0.441631794,0.190042
Malawi,MWI,0.592347479,1.519225143
Malaysia,MYS,0.527421236,0.231469
Maldives,MDV,0.509508896,0
Mexico,MEX,0.63824091,0.024071667
Mongolia,MNG,0.473609447,0.05630925
Moldova,MDA,0.588864136,7.5319015
Morocco,MAR,0.588063335,0.0818075
Mozambique,MOZ,0.56310482,18.1475881
Nepal,NPL,0.645006657,0.5706064
Vanuatu,VUT,0.406910563,0
New Zealand,NZL,0.509459448,0
Nigeria,NGA,0.530628824,0.3461192
Norway,NOR,0.586976767,0
Pakistan,PAK,0.650545454,2.8610553
Papua New Guinea,PNG,0.408858252,0
Paraguay,PRY,0.559178734,0.6178344
Peru,PER,0.667439604,0.7986001
Philippines,PHL,0.536501503,1.9908939
Portugal,PRT,0.634570789,0
Romania,ROU,0.540271473,0
Russia,RUS,0.669103765,0
Rwanda,RWA,0.320730114,9.2170654
Senegal,SEN,0.501507521,1.388546429
Serbia,SRB,0.733620691,10.7802848
Sierra Leone,SLE,0.554832125,0.142559
Slovakia,SVK,0.546082926,0
Vietnam,VNM,0.476202536,2.6432885
Slovenia,SVN,0.554239035,0
South Africa,ZAF,0.628791189,3.0310982
Zimbabwe,ZWE,0.532416964,13.7144989
Spain,ESP,0.479956675,0
South Sudan,SSD,0.745123243,9.69533225
Sudan,SDN,0.807046604,11.222861
Switzerland,CHE,0.494415188,0
Thailand,THA,0.530011082,0.6666108
Tunisia,TUN,0.566584158,3.786729125
Turkey,TUR,0.579623461,9.7911366
Uganda,UGA,0.484481001,12.491859
Ukraine,UKR,0.633838987,12.8726319
Macedonia,MKD,0.60145278,1.0323171
Egypt,EGY,0.559625387,3.3700435
United Kingdom,GBR,0.51459856,0
Tanzania,TZA,0.672540998,23.8840537
United States,USA,0.592072487,0
Uruguay,URY,0.495913458,0.053365667
Venezuela,VEN,0.680133915,0.171673
Yemen,YEM,0.694962502,2.4167421
Zambia,ZMB,0.601859522,8.2327105
