Country,CountryCode,Perceived Corruption: Education,Funding USDm
Afghanistan,AFG,0.5740978744,25.277
Albania,ALB,0.7955329949,0.042
Algeria,DZA,0.7320987654,
Azerbaijan,AZE,0.557489301,0.008
Argentina,ARG,0.5129459735,
Bangladesh,BGD,0.4012994684,3.916
Armenia,ARM,0.7471287129,0.013
Bolivia,BOL,0.6010438413,0.033
Bosnia and Herzegovina,BIH,0.7735772358,0.001
Brazil,BRA,0.5700325733,0.111
Cambodia,KHM,0.5286432161,22.989
Cameroon,CMR,0.7978702807,0.069
Sri Lanka,LKA,0.5794632439,
Chile,CHL,0.7356854839,0.016
Colombia,COL,0.6127144299,0.108
Georgia,GEO,0.4890574215,0.009
Ghana,GHA,0.770505618,0.204
India,IND,0.7454905847,0.841
Indonesia,IDN,0.6472024415,0.291
Iraq,IRQ,0.5331417625,0.004
Jamaica,JAM,0.4736097068,0.016
Kazakhstan,KAZ,0.7247083775,0.033
Kenya,KEN,0.5987272727,0.644
Kyrgyzstan,KGZ,0.8746582545,0.038
Lebanon,LBN,0.7585454545,0.046
Liberia,LBR,0.8915906788,1.769
Libya,LBY,0.6426264801,
Malawi,MWI,0.7967806841,0.043
Maldives,MDV,0.5168049793,0.022
Mexico,MEX,0.6431969553,0.153
Mongolia,MNG,0.7520084567,0.008
Moldova,MDA,0.743705036,0.005
Morocco,MAR,0.7385964912,0.028
Mozambique,MOZ,0.8150278293,0.036
Nepal,NPL,0.6319218241,0.077
Nigeria,NGA,0.6869130869,0.067
Paraguay,PRY,0.6008196721,0.008
Peru,PER,0.688034188,0.011
Philippines,PHL,0.5598796389,0.008
Rwanda,RWA,0.284972973,0.965
Senegal,SEN,0.6721470019,0.023
Serbia,SRB,0.7926002055,0.067
Sierra Leone,SLE,0.7623529412,0.014
South Africa,ZAF,0.550668037,0.095
Zimbabwe,ZWE,0.7662676823,0.016
South Sudan,SSD,0.6705521472,
Thailand,THA,0.6165983607,0.134
Tunisia,TUN,0.5953385128,0.016
Turkey,TUR,0.6316872428,0.379
Uganda,UGA,0.6647058824,0.517
Ukraine,UKR,0.7994575045,0.047
Egypt,EGY,0.7590583419,0.115
Tanzania,TZA,0.8147325933,0.131
Venezuela,VEN,0.6459152017,0.031
Yemen,YEM,0.7456994819,0.008
Zambia,ZMB,0.8181086519,0.118
