Country Name,CountryCode,Corruption risks
Afghanistan,AFG,0.57877264
Albania,ALB,0.449673223
Algeria,DZA,0.629059839
Azerbaijan,AZE,0.491987181
Argentina,ARG,0.508085108
Australia,AUS,0.565176916
Bangladesh,BGD,0.332562613
Armenia,ARM,0.556698799
Belgium,BEL,0.549763012
Bolivia,BOL,0.570449162
Bosnia and Herzegovina,BIH,0.527481699
Brazil,BRA,0.589038038
Solomon Islands,SLB,0.396428561
Bulgaria,BGR,0.62836256
Burundi,BDI,0.289617491
Cambodia,KHM,0.343622732
Cameroon,CMR,0.495138884
Canada,CAN,0.552473116
Sri Lanka,LKA,0.50945735
Chile,CHL,0.59066391
Taiwan,TWN,0.617409325
Colombia,COL,0.628361368
"Congo, Democratic Republic",COD,0.550521898
Croatia,HRV,0.555381155
Cyprus (1975-),CYP,0.5265306
Czech Republic,CZE,0.495594692
Denmark,DNK,0.461165047
El Salvador,SLV,0.574919605
Ethiopia (1993-),ETH,0.446170425
Estonia,EST,0.474157286
Fiji,FJI,0.497089386
Finland,FIN,0.471806669
France (1963-),FRA,0.555882359
Georgia,GEO,0.401932383
Germany,DEU,0.604966164
Ghana,GHA,0.468136501
Greece,GRC,0.621899462
Hungary,HUN,0.55048027
India,IND,0.570806646
Indonesia,IDN,0.54160428
Iraq,IRQ,0.445250797
Israel,ISR,0.657395124
Italy,ITA,0.569213724
Jamaica,JAM,0.389722514
Japan,JPN,0.655379725
Kazakhstan,KAZ,0.518575048
Kenya,KEN,0.468466711
"Korea, South",KOR,0.558356524
Kyrgyzstan,KGZ,0.578236914
Lebanon,LBN,0.731784821
Latvia,LVA,0.484482765
Liberia,LBR,0.625944853
Libya,LBY,0.527639389
Lithuania,LTU,0.517267084
Luxembourg,LUX,0.511111116
Madagascar,MDG,0.441631794
Malawi,MWI,0.592347479
Malaysia (1966-),MYS,0.527421236
Maldives,MDV,0.509508896
Mexico,MEX,0.63824091
Mongolia,MNG,0.473609447
Moldova,MDA,0.588864136
Morocco,MAR,0.588063335
Mozambique,MOZ,0.56310482
Nepal,NPL,0.645006657
Vanuatu,VUT,0.406910563
New Zealand,NZL,0.509459448
Nigeria,NGA,0.530628824
Norway,NOR,0.586976767
Pakistan (1971-),PAK,0.650545454
Papua New Guinea,PNG,0.408858252
Paraguay,PRY,0.559178734
Peru,PER,0.667439604
Philippines,PHL,0.536501503
Portugal,PRT,0.634570789
Romania,ROU,0.540271473
Russia,RUS,0.669103765
Rwanda,RWA,0.320730114
Senegal,SEN,0.501507521
Serbia,SRB,0.733620691
Sierra Leone,SLE,0.554832125
Slovakia,SVK,0.546082926
Vietnam,VNM,0.476202536
Slovenia,SVN,0.554239035
South Africa,ZAF,0.628791189
Zimbabwe,ZWE,0.532416964
Spain,ESP,0.479956675
South Sudan,SSD,0.745123243
Sudan (2012-),SDN,0.807046604
Switzerland,CHE,0.494415188
Thailand,THA,0.530011082
Tunisia,TUN,0.566584158
Turkey,TUR,0.579623461
Uganda,UGA,0.484481001
Ukraine,UKR,0.633838987
Macedonia,MKD,0.60145278
Egypt,EGY,0.559625387
United Kingdom,GBR,0.51459856
Tanzania,TZA,0.672540998
United States,USA,0.592072487
Uruguay,URY,0.495913458
Venezuela,VEN,0.680133915
Yemen,YEM,0.694962502
Zambia,ZMB,0.601859522
